date;song;artist;idk;link
January 1, 2024 at 02:45PM;Writer In The Dark;Lorde;193Dm5SqYy3hTSbuzxbwKc;https://open.spotify.com/track/193Dm5SqYy3hTSbuzxbwKc
January 1, 2024 at 02:48PM;Creep (Glee Cast Version);Glee Cast;7t0u2dbZoby5Y6yWXY2zYG;https://open.spotify.com/track/7t0u2dbZoby5Y6yWXY2zYG
January 1, 2024 at 02:52PM;Not a Second to Waste;A Rocket To The Moon;2u4P8OYhcN8K5A0UiofefL;https://open.spotify.com/track/2u4P8OYhcN8K5A0UiofefL
January 1, 2024 at 02:56PM;The Gold - Phoebe Bridgers Version;Manchester Orchestra;7qcXUzPwoxSBFxjTbNrV0B;https://open.spotify.com/track/7qcXUzPwoxSBFxjTbNrV0B
January 2, 2024 at 05:56PM;Thumbs;Sabrina Carpenter;6WC5fhc9XMaCrUNKNjm9xE;https://open.spotify.com/track/6WC5fhc9XMaCrUNKNjm9xE
January 2, 2024 at 06:59PM;Zombie;The Cranberries;7EZC6E7UjZe63f1jRmkWxt;https://open.spotify.com/track/7EZC6E7UjZe63f1jRmkWxt
January 2, 2024 at 07:02PM;Homesick;Noah Kahan;0jkzxxDG8z3Y5OmfNl1VM0;https://open.spotify.com/track/0jkzxxDG8z3Y5OmfNl1VM0
January 2, 2024 at 07:09PM;Jersey;Mayday Parade;6gxupt6imt0qIdbE8e356n;https://open.spotify.com/track/6gxupt6imt0qIdbE8e356n
January 2, 2024 at 07:10PM;brutal;Olivia Rodrigo;6SRsiMl7w1USE4mFqrOhHC;https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
January 3, 2024 at 09:42AM;The Start of Your Ending (41st Side);Mobb Deep;5DGnlowf1fjT7VWsoeRDlb;https://open.spotify.com/track/5DGnlowf1fjT7VWsoeRDlb
January 3, 2024 at 09:45AM;(The Infamous Prelude);Mobb Deep;41sW9ZPxYJCUj0Bw0jfJTT;https://open.spotify.com/track/41sW9ZPxYJCUj0Bw0jfJTT
January 3, 2024 at 09:48AM;Survival of the Fittest;Mobb Deep;7N1Vjtzr1lmmCW9iasQ8YO;https://open.spotify.com/track/7N1Vjtzr1lmmCW9iasQ8YO
January 3, 2024 at 09:53AM;Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon);Mobb Deep;0T2AYQdV9KRC8y8FC1jKq4;https://open.spotify.com/track/0T2AYQdV9KRC8y8FC1jKq4
January 3, 2024 at 09:54AM;(Just Step Prelude);Mobb Deep;29Wtd44rwt8wFimq3SQEx5;https://open.spotify.com/track/29Wtd44rwt8wFimq3SQEx5
January 3, 2024 at 09:58AM;Give Up the Goods (Just Step) (feat. Big Noyd);Mobb Deep;61VlApj8p2ZaP0WTunTrKT;https://open.spotify.com/track/61VlApj8p2ZaP0WTunTrKT
January 3, 2024 at 10:03AM;Temperature's Rising (feat. Crystal Johnson);Mobb Deep;0Y1wsOHYGbNNNGeYjQJ8BL;https://open.spotify.com/track/0Y1wsOHYGbNNNGeYjQJ8BL
January 3, 2024 at 10:08AM;Up North Trip;Mobb Deep;7KQvT4YuzcmyogWg7Gq4Z5;https://open.spotify.com/track/7KQvT4YuzcmyogWg7Gq4Z5
